AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
0.2,-0.93,0.08,59.41,35.84,30.63,130434.0,131376.0,130426.0
0.12,-0.9,0.17,66.78,36.51,33.62,130427.0,131384.0,130431.0
0.08,-0.93,0.24,62.09,19.25,26.79,130419.0,131386.0,130445.0
0.15,-0.93,0.2,62.27,6.51,34.23,130405.0,131384.0,130436.0
0.08,-0.95,0.29,69.71,2.79,33.56,130394.0,131379.0,130427.0
0.06,-0.92,0.29,66.97,1.57,23.25,130383.0,131379.0,130432.0
0.05,-0.9,0.4,68.25,0.71,22.58,130377.0,131381.0,130450.0
0.05,-0.87,0.31,64.71,0.53,15.45,130375.0,131386.0,130447.0
0.07,-0.88,0.42,83.06,10.78,25.33,130364.0,131377.0,130443.0
-0.05,-0.9,0.59,69.22,3.46,19.78,130351.0,131378.0,130434.0
0.04,-0.82,0.42,69.34,6.75,8.68,130354.0,131376.0,130428.0
-0.01,-0.82,0.55,77.39,-1.66,18.25,130353.0,131371.0,130430.0
0.04,-0.77,0.48,88.25,6.87,13.01,130343.0,131369.0,130442.0
-0.07,-0.75,0.66,98.12,6.93,20.14,130334.0,131372.0,130435.0
0.03,-0.74,0.68,93.43,-15.08,11.12,130340.0,131374.0,130439.0
-0.1,-0.67,0.69,94.34,5.9,20.2,130336.0,131367.0,130434.0
-0.05,-0.64,0.75,94.53,1.63,1.36,130335.0,131369.0,130442.0
-0.03,-0.6,0.67,103.98,0.96,9.35,130334.0,131368.0,130442.0
-0.08,-0.5,0.65,125.63,6.02,-4.73,130326.0,131371.0,130450.0
-0.0,-0.45,0.85,139.53,34.25,-0.16,130313.0,131374.0,130436.0
-0.08,-0.44,1.13,80.56,5.84,16.55,130302.0,131367.0,130431.0
-0.04,-0.43,1.02,55.56,-30.44,2.22,130309.0,131365.0,130431.0
-0.09,-0.37,0.91,46.84,-35.51,7.4,130326.0,131365.0,130439.0
0.04,-0.34,0.92,64.47,-42.27,0.88,130333.0,131371.0,130447.0
0.0,-0.32,1.03,48.8,-40.38,7.52,130348.0,131368.0,130449.0
0.03,-0.26,0.85,61.05,-23.13,7.46,130367.0,131356.0,130440.0
0.02,-0.29,1.05,70.56,5.9,7.46,130373.0,131346.0,130449.0
0.02,-0.19,1.01,45.26,-18.07,1.67,130386.0,131340.0,130446.0
0.02,-0.22,1.05,54.04,-26.6,-2.48,130407.0,131350.0,130441.0
0.06,-0.08,0.99,41.72,-12.82,-11.93,130430.0,131336.0,130437.0
0.11,-0.18,1.0,56.36,-4.59,4.47,130440.0,131343.0,130443.0
-0.01,-0.09,1.35,70.93,17.73,6.42,130448.0,131339.0,130437.0
-0.01,-0.11,0.99,17.39,-0.38,-8.45,130453.0,131339.0,130460.0
0.08,-0.05,0.92,27.39,20.04,3.13,130450.0,131330.0,130441.0
-0.0,-0.04,1.15,25.44,9.74,7.77,130450.0,131333.0,130449.0
0.04,-0.04,1.06,11.48,6.14,-4.8,130445.0,131327.0,130456.0
0.01,-0.03,1.02,10.56,9.86,1.97,130449.0,131326.0,130439.0
0.09,-0.02,0.97,13.37,5.78,5.69,130448.0,131329.0,130446.0
-0.05,-0.03,1.06,14.89,-0.51,7.22,130453.0,131329.0,130444.0
0.01,-0.02,1.02,7.76,4.62,0.81,130449.0,131321.0,130439.0
-0.0,-0.02,1.02,10.14,9.31,4.23,130458.0,131326.0,130458.0
0.01,-0.0,0.99,5.02,7.42,0.39,130457.0,131316.0,130451.0
-0.0,-0.01,0.99,6.91,4.49,2.4,130460.0,131328.0,130465.0
0.0,-0.0,1.0,11.42,-1.54,4.59,130467.0,131320.0,130458.0
-0.02,-0.0,1.01,8.0,5.59,2.64,130473.0,131322.0,130450.0
-0.02,-0.01,1.18,12.76,-13.68,3.62,130474.0,131322.0,130456.0
0.01,0.02,0.99,-3.77,-23.37,-0.89,130479.0,131328.0,130450.0
0.02,0.01,0.99,-1.75,-8.37,-0.22,130481.0,131326.0,130454.0
0.02,0.0,1.01,-1.69,-7.33,-0.71,130483.0,131327.0,130445.0
0.03,0.01,1.01,-2.18,-14.22,0.2,130493.0,131337.0,130445.0
0.03,0.0,1.0,-1.57,-5.99,-0.16,130491.0,131328.0,130449.0
0.03,0.0,1.0,-0.23,-0.57,-0.16,130495.0,131330.0,130468.0
0.06,0.01,1.01,-0.84,-0.93,1.12,130501.0,131322.0,130456.0
0.04,0.0,1.0,-0.05,-0.08,0.02,130497.0,131330.0,130454.0
0.03,0.01,1.0,-0.23,2.42,0.14,130494.0,131319.0,130454.0
0.03,-0.0,1.01,-0.17,2.12,0.08,130496.0,131331.0,130440.0
0.03,0.0,1.01,-0.17,2.3,0.33,130496.0,131317.0,130464.0
0.03,0.0,1.01,-0.23,3.7,0.63,130493.0,131325.0,130455.0
0.03,0.0,1.0,-0.17,2.48,0.08,130486.0,131315.0,130449.0
0.02,0.0,1.01,0.26,8.28,0.02,130484.0,131332.0,130450.0
0.02,0.0,1.01,0.14,4.49,0.45,130488.0,131323.0,130449.0
0.02,0.0,1.0,0.81,4.13,-0.04,130485.0,131317.0,130443.0
-0.01,-0.02,0.99,3.37,15.17,-1.62,130484.0,131336.0,130445.0
-0.03,0.01,1.01,3.31,17.24,-9.73,130468.0,131315.0,130446.0
0.08,-0.01,1.06,-1.02,9.98,-0.83,130461.0,131323.0,130460.0
-0.06,0.01,1.1,-19.19,-31.91,-7.3,130467.0,131320.0,130438.0
0.02,-0.02,1.15,-25.9,-60.63,-5.59,130487.0,131323.0,130444.0
0.14,-0.01,1.13,-45.96,-177.4,0.08,130527.0,131324.0,130456.0
0.15,-0.01,0.97,-27.48,-204.04,-5.16,130608.0,131314.0,130456.0
0.24,-0.08,0.96,-44.8,-276.73,-2.05,130718.0,131319.0,130458.0
0.45,-0.09,0.79,-37.42,-258.19,-6.02,130826.0,131319.0,130471.0
0.6,-0.12,0.82,-18.77,-279.23,2.03,130940.0,131314.0,130481.0
0.72,-0.11,0.73,-26.69,-288.07,-0.65,131053.0,131315.0,130476.0
0.73,-0.12,0.44,-14.92,-273.13,-0.65,131156.0,131311.0,130478.0
0.95,-0.15,0.42,2.88,-253.07,-13.21,131228.0,131309.0,130474.0
1.02,-0.09,0.39,4.59,-228.31,-3.52,131298.0,131306.0,130475.0
0.89,-0.13,0.16,6.78,-183.68,6.42,131346.0,131312.0,130472.0
1.02,-0.09,0.17,20.87,-151.6,-19.67,131382.0,131302.0,130471.0
0.97,-0.1,0.07,22.15,-123.13,-14.43,131399.0,131299.0,130463.0
1.05,-0.09,0.02,17.09,-94.71,-7.36,131417.0,131291.0,130465.0
0.97,-0.09,-0.09,14.59,-77.82,-15.41,131426.0,131297.0,130459.0
1.06,-0.06,-0.05,20.62,-59.23,-16.26,131434.0,131301.0,130446.0
1.08,-0.08,-0.05,8.92,-36.42,-1.5,131433.0,131283.0,130471.0
1.08,-0.07,-0.09,-3.09,20.04,-7.54,131441.0,131293.0,130449.0
1.06,-0.08,-0.06,-7.55,57.67,-0.41,131434.0,131294.0,130469.0
1.15,-0.06,-0.12,-5.11,97.6,-2.42,131423.0,131289.0,130455.0
0.98,-0.07,0.07,-10.84,144.37,13.5,131399.0,131293.0,130460.0
0.9,-0.08,0.13,-15.17,262.06,-21.69,131351.0,131305.0,130468.0
1.04,-0.06,0.29,-11.33,255.41,-15.77,131290.0,131291.0,130470.0
0.91,-0.05,0.41,-7.79,236.99,-7.66,131209.0,131307.0,130477.0
0.8,-0.05,0.53,-2.61,251.99,-4.8,131127.0,131312.0,130476.0
0.72,-0.07,0.6,4.04,273.21,-9.55,131023.0,131319.0,130471.0
0.72,-0.02,0.84,7.88,114.01,1.79,130953.0,131318.0,130469.0
0.6,-0.05,0.73,9.41,84.43,-4.06,130926.0,131310.0,130462.0
0.67,-0.03,0.8,9.22,39.01,-10.16,130903.0,131310.0,130457.0
0.57,-0.03,0.73,8.37,26.08,-12.72,130896.0,131326.0,130454.0
0.49,-0.03,0.71,23.73,139.98,-37.42,130843.0,131320.0,130470.0
0.58,0.06,0.93,35.5,80.53,-38.27,130813.0,131317.0,130473.0
0.08,-0.25,0.78,13.61,356.2,-4.98,130700.0,131314.0,130451.0
0.35,0.1,0.91,50.87,222.91,-70.59,130568.0,131317.0,130451.0
0.21,0.19,1.03,66.97,111.99,-34.55,130485.0,131301.0,130442.0
0.24,0.14,1.18,49.34,-1.66,-0.83,130482.0,131312.0,130459.0
0.03,0.1,1.06,-18.34,-62.52,0.27,130498.0,131310.0,130454.0
0.18,0.13,0.86,-21.14,-43.92,-15.1,130512.0,131314.0,130450.0
0.25,0.13,0.96,-16.39,10.35,6.42,130515.0,131316.0,130444.0
0.16,0.1,1.01,-12.73,-21.48,14.78,130521.0,131306.0,130458.0
0.22,0.13,0.98,-20.05,-24.1,9.96,130544.0,131316.0,130451.0
0.26,0.08,0.78,-9.74,-78.74,17.46,130581.0,131306.0,130446.0
0.25,0.11,1.16,-11.63,-44.23,16.79,130622.0,131323.0,130456.0
0.29,0.05,0.99,-5.47,-28.68,10.14,130632.0,131301.0,130471.0
0.23,0.07,1.06,-12.3,-7.46,10.94,130643.0,131311.0,130456.0
0.35,0.07,1.11,-18.64,1.51,5.39,130637.0,131300.0,130459.0
0.33,0.05,1.05,-31.14,35.23,20.63,130610.0,131315.0,130469.0
0.18,0.01,1.15,-49.62,82.12,16.24,130563.0,131312.0,130455.0
0.21,0.03,0.98,-64.07,111.02,5.27,130502.0,131328.0,130451.0
0.11,-0.02,0.93,-49.01,239.13,3.31,130389.0,131331.0,130434.0
-0.02,-0.04,0.92,-43.95,226.75,9.05,130272.0,131337.0,130439.0
-0.15,-0.09,0.75,-35.11,261.45,-1.62,130169.0,131340.0,130419.0
-0.26,-0.08,0.88,-16.02,330.29,0.88,130038.0,131337.0,130409.0
-0.48,-0.13,0.79,-27.48,367.42,19.47,129933.0,131338.0,130401.0
-0.67,-0.12,0.69,-18.34,255.35,1.06,129860.0,131340.0,130375.0
-0.59,-0.1,0.49,-5.41,317.73,24.17,129813.0,131334.0,130381.0
-0.88,-0.08,0.43,-0.9,313.4,44.17,129777.0,131316.0,130365.0
-0.95,-0.07,0.37,-8.52,252.12,36.24,129773.0,131318.0,130355.0
-0.99,-0.06,0.11,-10.66,200.23,21.67,129782.0,131312.0,130357.0
-1.0,-0.03,0.06,0.99,174.43,21.42,129801.0,131322.0,130373.0
-1.01,-0.04,0.01,-2.61,123.76,15.27,129816.0,131310.0,130373.0
-0.94,-0.0,-0.12,-1.63,95.29,10.39,129833.0,131319.0,130369.0
-0.95,-0.04,-0.09,2.76,55.96,15.57,129842.0,131315.0,130352.0
-1.02,-0.0,-0.14,0.14,8.76,-0.53,129848.0,131310.0,130358.0
-0.96,-0.02,-0.14,0.56,17.54,11.0,129850.0,131310.0,130359.0
-1.03,-0.04,-0.18,1.23,-4.83,-8.21,129858.0,131310.0,130361.0
-0.82,-0.0,-0.14,7.15,-49.16,-7.48,129848.0,131309.0,130362.0
-1.09,-0.04,-0.15,22.33,-173.43,1.55,129823.0,131321.0,130353.0
-0.98,-0.01,0.08,22.52,-180.99,-18.58,129792.0,131326.0,130374.0
-0.88,-0.03,0.11,14.53,-173.55,-14.61,129780.0,131328.0,130366.0
-0.89,-0.01,0.23,22.58,-210.81,-4.8,129761.0,131331.0,130375.0
-0.85,-0.05,0.39,6.36,-180.26,-1.56,129767.0,131325.0,130371.0
-0.87,-0.07,0.42,0.5,-161.54,-0.65,129784.0,131332.0,130390.0
-0.82,-0.05,0.55,-10.66,-177.64,-10.34,129800.0,131334.0,130384.0
-0.78,-0.07,0.64,-13.03,-194.35,-5.77,129832.0,131333.0,130381.0
-0.68,-0.05,0.64,-14.98,-204.71,-13.58,129874.0,131328.0,130394.0
-0.62,-0.06,0.79,1.72,-248.92,-14.61,129936.0,131332.0,130399.0
-0.44,-0.08,0.94,-9.31,-269.04,-15.77,130018.0,131339.0,130415.0
-0.34,-0.07,0.95,-22.3,-259.04,-6.81,130106.0,131337.0,130426.0
-0.2,-0.1,0.95,-18.22,-296.42,-4.55,130232.0,131335.0,130429.0
-0.04,-0.11,0.9,-13.95,-213.49,-2.3,130331.0,131337.0,130440.0
0.03,-0.09,0.81,3.37,-44.23,-0.41,130364.0,131336.0,130446.0
0.06,-0.11,1.01,24.83,-1.05,4.41,130376.0,131328.0,130435.0
0.06,-0.13,0.99,1.48,-19.65,2.09,130383.0,131322.0,130446.0
0.07,-0.09,0.96,14.04,-2.88,5.63,130392.0,131330.0,130450.0
0.02,-0.07,0.95,16.05,9.92,0.63,130390.0,131321.0,130439.0
0.08,-0.1,0.99,30.87,16.63,-4.25,130389.0,131320.0,130449.0
