AccelX,AccelY,AccelZ,AirbrakesDeploy,Altitude,EndByte,GyroX,GyroY,GyroZ,State,Temperature,Timestamp,Velocity,Voltage
0.14,-0.48,-0.83,0,5.182846,0,-3.6,-3.6,2.4,8,21,1302400,245,0
0.15,-0.49,-0.83,0,4.8496933,0,-4.4,-4.4,2.4,8,21,1302500,246,0
0.13,-0.48,-0.83,0,3.932825,0,-3.8,-3.8,2.4,8,21,1302600,246,0
0.15,-0.49,-0.84,0,4.8496933,0,-3.8,-3.8,2.4,8,21,1302700,246,0
0.14,-0.48,-0.83,0,4.8496933,0,-3.8,-3.8,2.2,8,21,1302800,246,0
0.14,-0.49,-0.83,0,4.8496933,0,-3.9,-3.9,2.3,8,21,1302900,246,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.8,-3.8,2.4,8,21,1303000,246,0
0.14,-0.48,-0.83,0,4.266451,0,-4.1,-4.1,2.3,8,21,1303100,246,0
0.15,-0.48,-0.84,0,4.8496933,0,-3.7,-3.7,2.5,8,21,1303200,246,0
0.14,-0.49,-0.83,0,4.8496933,0,-4.1,-4.1,2.3,8,21,1303300,246,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.6,-3.6,2.2,8,21,1303400,246,0
0.14,-0.49,-0.84,0,4.8496933,0,-4.2,-4.2,2.3,8,21,1303500,246,0
0.15,-0.49,-0.83,0,4.266451,0,-3.6,-3.6,2.3,8,21,1303600,246,0
0.14,-0.49,-0.84,0,4.8496933,0,-4.4,-4.4,2.3,8,21,1303700,246,0
0.14,-0.48,-0.84,0,4.8496933,0,-3.3,-3.3,2.3,8,21,1303800,246,0
0.14,-0.48,-0.83,0,4.8496933,0,-4.1,-4.1,2.5,8,21,1303900,246,0
0.15,-0.48,-0.83,0,3.932825,0,-3.7,-3.7,2.3,8,21,1304000,246,0
0.15,-0.49,-0.83,0,3.932825,0,-3.9,-3.9,2.4,8,21,1304100,246,0
0.14,-0.49,-0.83,0,4.8496933,0,-3.9,-3.9,2.4,8,21,1304200,246,0
0.14,-0.48,-0.84,0,4.8496933,0,-3.7,-3.7,2.2,8,21,1304300,246,0
0.14,-0.49,-0.83,0,3.932825,0,-4.3,-4.3,2.4,8,21,1304400,246,0
0.15,-0.48,-0.83,0,3.932825,0,-3.7,-3.7,2.4,8,21,1304500,246,0
0.14,-0.49,-0.84,0,3.932825,0,-4,-4,2.4,8,21,1304600,246,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.7,-3.7,2.4,8,21,1304700,246,0
0.14,-0.49,-0.83,0,4.8496933,0,-4.1,-4.1,2.2,8,21,1304800,246,0
0.14,-0.48,-0.83,0,4.8496933,0,-3.5,-3.5,2.2,8,21,1304900,246,0
0.15,-0.48,-0.83,0,4.8496933,0,-4.4,-4.4,2.4,8,21,1305000,246,0
0.15,-0.49,-0.84,0,3.932825,0,-3.4,-3.4,2.4,8,21,1305100,246,0
0.14,-0.47,-0.84,0,4.8496933,0,-4.1,-4.1,2.3,8,21,1305200,246,0
0.15,-0.49,-0.83,0,4.8496933,0,-3.8,-3.8,2.2,8,21,1305300,246,0
0.15,-0.48,-0.84,0,3.5997124,0,-3.9,-3.9,2.4,8,21,1305400,246,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.9,-3.9,2.4,8,21,1305500,246,0
0.15,-0.48,-0.84,0,4.8496933,0,-3.7,-3.7,2.2,8,21,1305600,246,0
0.15,-0.48,-0.84,0,4.8496933,0,-3.9,-3.9,2.4,8,21,1305700,247,0
0.15,-0.49,-0.83,0,4.8496933,0,-4,-4,2.3,8,21,1305800,247,0
0.14,-0.48,-0.83,0,4.8496933,0,-3.8,-3.8,2.3,8,21,1305900,247,0
0.14,-0.49,-0.83,0,4.8496933,0,-4.1,-4.1,2.3,8,21,1306000,247,0
0.15,-0.48,-0.84,0,3.932825,0,-3.8,-3.8,2.4,8,21,1306100,247,0
0.14,-0.49,-0.83,0,4.8496933,0,-4.1,-4.1,2.4,8,21,1306200,247,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.7,-3.7,2.4,8,21,1306300,247,0
0.14,-0.49,-0.83,0,4.8496933,0,-4.2,-4.2,2.3,8,21,1306400,247,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.9,-3.9,2.5,8,21,1306500,247,0
0.14,-0.49,-0.84,0,4.8496933,0,-4,-4,2.4,8,21,1306600,247,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.8,-3.8,2.4,8,21,1306700,247,0
0.14,-0.49,-0.84,0,5.182846,0,-4.1,-4.1,2.4,8,21,1306800,247,0
0.15,-0.48,-0.83,0,4.8496933,0,-3.6,-3.6,2.4,8,21,1306900,247,0
0.14,-0.48,-0.83,0,4.8496933,0,-4.1,-4.1,2.3,8,21,1307000,247,0
0.15,-0.49,-0.84,0,4.516552,0,-3.4,-3.4,2.2,8,21,1307100,247,0
0.15,-0.49,-0.83,0,4.8496933,0,-4.3,-4.3,2.3,8,21,1307200,247,0
