W,I,J,K,LAT,LON,ALT_MSL,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time,,LAT_DEG,LON_DEG
-0.22,-0.13,-0.62,0.74,422737984,-718097792,171903,0.38,0.71,-0.27,-6.91,-31.75,-16.54,-0.1,-17088,-0.25,17:05:20,,42.2737984,-71.8097792
-0.23,-0.12,-0.61,0.75,422737984,-718097792,171940,0.33,0.7,-0.28,-15.88,-33.09,-12.35,-0.1,-17208,-0.25,17:05:20,,42.2737984,-71.8097792
-0.24,-0.11,-0.61,0.75,422737984,-718097792,171975,0.37,0.73,-0.23,-17.81,-28.08,-8.89,-0.1,-17224,-0.25,17:05:20,,42.2737984,-71.8097792
-0.24,-0.1,-0.61,0.75,422737984,-718097792,171975,0.37,0.76,-0.24,-20.68,-24.99,-10.13,-0.1,-17448,-0.25,17:05:20,,42.2737984,-71.8097792
-0.24,-0.09,-0.61,0.75,422738016,-718097792,172000,0.4,0.81,-0.24,-6.8,-19.11,-10.04,-0.1,-17992,-0.26,17:05:20,,42.2738016,-71.8097792
-0.24,-0.08,-0.61,0.75,422738016,-718097792,172026,0.41,0.96,-0.25,3.18,-16.8,-8.35,-0.1,-18136,-0.26,17:05:20,,42.2738016,-71.8097792
-0.24,-0.08,-0.62,0.75,422738016,-718097792,172049,0.42,1.02,-0.19,0.05,-15.82,-13.7,-0.1,-18328,-0.26,17:05:20,,42.2738016,-71.8097792
-0.24,-0.07,-0.62,0.75,422738016,-718097792,172049,0.5,1.04,-0.23,9.16,-12.57,-13.09,-0.1,-18496,-0.26,17:05:20,,42.2738016,-71.8097792
-0.23,-0.07,-0.61,0.75,422738016,-718097792,172072,0.43,1.13,-0.3,10.16,2.68,-10.81,-0.09,-18728,-0.26,17:05:20,,42.2738016,-71.8097792
-0.23,-0.06,-0.62,0.75,422738016,-718097728,172031,0.32,1.12,-0.21,4.59,12.93,-3.95,-0.09,-18800,-0.26,17:05:20,,42.2738016,-71.8097728
-0.22,-0.06,-0.62,0.75,422738016,-718097728,172058,0.24,0.93,-0.23,18.43,22.4,-6.09,-0.09,-18680,-0.26,17:05:20,,42.2738016,-71.8097728
-0.2,-0.05,-0.62,0.76,422738016,-718097728,172058,0.19,0.99,-0.25,7.74,24.41,5.82,-0.09,-18424,-0.26,17:05:20,,42.2738016,-71.8097728
-0.2,-0.05,-0.62,0.76,422738016,-718097728,172081,0.22,1.01,-0.25,-0.24,23.62,11.35,-0.09,-18104,-0.26,17:05:20,,42.2738016,-71.8097728
-0.19,-0.04,-0.63,0.75,422738016,-718097728,172099,0.26,0.91,-0.15,-5.55,31.28,-2.15,-0.09,-17880,-0.26,17:05:21,,42.2738016,-71.8097728
-0.19,-0.05,-0.63,0.75,422738016,-718097728,172112,0.29,0.79,-0.14,9.19,41.77,-12.83,-0.09,-17320,-0.26,17:05:21,,42.2738016,-71.8097728
-0.18,-0.05,-0.63,0.75,422738016,-718097728,172126,0.25,0.97,-0.17,18.08,42.24,-13.2,-0.09,-17032,-0.26,17:05:21,,42.2738016,-71.8097728
-0.17,-0.06,-0.63,0.76,422738016,-718097728,172126,0.28,0.76,-0.22,9.58,28.62,-5.5,-0.09,-16960,-0.26,17:05:21,,42.2738016,-71.8097728
-0.17,-0.07,-0.62,0.76,422738016,-718097664,172138,0.35,0.84,-0.21,12.65,13.99,-0.82,-0.09,-16840,-0.26,17:05:21,,42.2738016,-71.8097664
-0.18,-0.07,-0.62,0.76,422738016,-718097664,172151,0.42,0.88,-0.17,16.34,-2.08,4.33,-0.09,-17280,-0.26,17:05:21,,42.2738016,-71.8097664
-0.19,-0.08,-0.62,0.76,422738016,-718097664,172162,0.47,0.95,-0.22,10.63,-16.82,5.84,-0.09,-17392,-0.26,17:05:21,,42.2738016,-71.8097664
-0.2,-0.08,-0.62,0.75,422738016,-718097664,172162,0.56,1.05,-0.18,11.7,-26.22,2.29,-0.09,-17920,-0.26,17:05:21,,42.2738016,-71.8097664
-0.22,-0.08,-0.61,0.76,422738016,-718097664,172142,0.57,0.96,-0.32,19.92,-31.16,-1.76,-0.09,-18584,-0.27,17:05:21,,42.2738016,-71.8097664
-0.22,-0.09,-0.62,0.75,422738016,-718097664,172176,0.58,0.99,-0.19,2.16,-36.34,-1.6,-0.09,-19048,-0.27,17:05:21,,42.2738016,-71.8097664
-0.23,-0.09,-0.62,0.74,422738016,-718097664,172215,0.55,0.95,-0.09,-10.84,-39.69,9.46,-0.09,-19176,-0.26,17:05:21,,42.2738016,-71.8097664
-0.23,-0.1,-0.64,0.73,422738016,-718097664,172215,0.53,0.99,0,-31.62,-38.68,10.5,-0.1,-19000,-0.26,17:05:21,,42.2738016,-71.8097664
-0.23,-0.09,-0.64,0.72,422738016,-718097664,172249,0.42,0.87,-0.11,-34.71,-44.63,-1.21,-0.09,-19112,-0.26,17:05:21,,42.2738016,-71.8097664
-0.24,-0.08,-0.64,0.72,422738016,-718097664,172347,0.31,0.74,-0.18,-35.18,-44.02,-2.51,-0.09,-19664,-0.26,17:05:21,,42.2738016,-71.8097664
-0.24,-0.06,-0.64,0.73,422738016,-718097664,172391,0.25,0.67,-0.17,-13.76,-39.99,-2.04,-0.09,-19928,-0.26,17:05:21,,42.2738016,-71.8097664
-0.25,-0.05,-0.62,0.74,422738016,-718097664,172391,0.2,0.62,-0.32,-15.75,-38.74,1.6,-0.09,-20040,-0.26,17:05:21,,42.2738016,-71.8097664
-0.26,-0.03,-0.62,0.74,422738016,-718097600,172426,0.22,0.71,-0.22,-23.26,-38.63,6.64,-0.1,-20128,-0.26,17:05:21,,42.2738016,-71.80976
-0.26,-0.02,-0.62,0.74,422738016,-718097600,172450,0.27,0.81,-0.29,-21,-33.45,11.61,-0.1,-20160,-0.26,17:05:21,,42.2738016,-71.80976
-0.27,-0.01,-0.61,0.74,422738016,-718097600,172451,0.31,0.9,-0.26,-15.99,-25.28,7.01,-0.1,-20328,-0.26,17:05:21,,42.2738016,-71.80976
-0.27,-0.01,-0.62,0.74,422738016,-718097600,172451,0.35,1.03,-0.19,-6.64,-17.37,-4.94,-0.09,-20712,-0.27,17:05:21,,42.2738016,-71.80976
-0.26,0,-0.62,0.74,422738048,-718097600,172435,0.4,1.23,-0.24,1.29,-6.09,-21.46,-0.09,-20936,-0.27,17:05:21,,42.2738048,-71.80976
-0.26,0,-0.61,0.75,422738048,-718097600,172440,0.39,1.13,-0.38,26.44,10.89,-28.92,-0.09,-21096,-0.27,17:05:21,,42.2738048,-71.80976
-0.25,0.01,-0.61,0.75,422738048,-718097600,172396,0.27,1.23,-0.34,6.52,21.44,-21.2,-0.09,-21528,-0.28,17:05:21,,42.2738048,-71.80976
-0.24,0.02,-0.62,0.75,422738048,-718097600,172396,0.24,1.24,-0.15,8.42,19.77,-17.7,-0.09,-21456,-0.28,17:05:21,,42.2738048,-71.80976
-0.23,0.02,-0.63,0.74,422738048,-718097600,172438,0.21,1.04,-0.18,7.03,21.09,-11.61,-0.09,-21136,-0.27,17:05:21,,42.2738048,-71.80976
-0.23,0.02,-0.63,0.74,422738048,-718097600,172438,0.29,1,-0.09,11.53,27.08,2.55,-0.09,-20848,-0.27,17:05:21,,42.2738048,-71.80976
-0.23,0.02,-0.64,0.73,422738048,-718097600,172502,0.29,0.89,-0.14,13.28,35.83,10.21,-0.09,-20360,-0.27,17:05:21,,42.2738048,-71.80976
-0.24,0.01,-0.64,0.73,422738048,-718097600,172502,0.29,0.81,-0.14,12.7,39.79,11.52,-0.09,-20216,-0.27,17:05:21,,42.2738048,-71.80976
-0.24,-0.01,-0.64,0.73,422738048,-718097600,172564,0.32,0.68,-0.15,23.22,42.53,14.36,-0.09,-20216,-0.27,17:05:22,,42.2738048,-71.80976
-0.25,-0.02,-0.63,0.74,422738048,-718097600,172614,0.31,0.65,-0.18,25.59,34.25,16.91,-0.09,-19968,-0.27,17:05:22,,42.2738048,-71.80976
-0.25,-0.03,-0.62,0.74,422738048,-718097600,172614,0.33,0.7,-0.25,17.65,20.35,14.71,-0.09,-19776,-0.26,17:05:22,,42.2738048,-71.80976
-0.26,-0.04,-0.61,0.74,422738048,-718097600,172645,0.34,0.76,-0.25,16.9,5.52,13.04,-0.1,-19712,-0.26,17:05:22,,42.2738048,-71.80976
-0.26,-0.04,-0.61,0.74,422738048,-718097600,172667,0.4,0.88,-0.23,11.4,-5.14,13.55,-0.1,-19976,-0.26,17:05:22,,42.2738048,-71.80976
-0.27,-0.04,-0.61,0.74,422738048,-718097536,172688,0.49,1.01,-0.27,-2.91,-17.54,12.9,-0.1,-20144,-0.26,17:05:22,,42.2738048,-71.8097536
-0.27,-0.05,-0.61,0.74,422738048,-718097536,172713,0.56,1.07,-0.25,4.55,-26.06,7.5,-0.1,-20480,-0.26,17:05:22,,42.2738048,-71.8097536
-0.28,-0.04,-0.61,0.74,422738048,-718097536,172713,0.59,1.08,-0.4,-19.08,-37.55,2.45,-0.1,-20832,-0.26,17:05:22,,42.2738048,-71.8097536
-0.29,-0.04,-0.61,0.74,422738048,-718097536,172723,0.58,1.11,-0.25,-2.1,-44.08,4.96,-0.1,-21272,-0.26,17:05:22,,42.2738048,-71.8097536
-0.29,-0.05,-0.62,0.73,422738048,-718097536,172749,0.54,0.99,-0.14,9.48,-41.76,9.3,-0.1,-21688,-0.26,17:05:22,,42.2738048,-71.8097536
-0.29,-0.04,-0.62,0.73,422738048,-718097536,172717,0.4,0.92,-0.19,-17.59,-26.66,6.78,-0.1,-21704,-0.26,17:05:22,,42.2738048,-71.8097536
-0.29,-0.03,-0.62,0.73,422738048,-718097536,172717,0.32,0.82,-0.23,-22.9,-29.79,2.46,-0.1,-21840,-0.26,17:05:22,,42.2738048,-71.8097536
-0.29,-0.02,-0.61,0.73,422738016,-718097536,172765,0.26,0.67,-0.26,-22.25,-27.73,-0.78,-0.1,-21808,-0.26,17:05:22,,42.2738016,-71.8097536
-0.3,-0.01,-0.61,0.74,422738016,-718097536,172761,0.23,0.62,-0.24,-12.25,-18.78,-5.6,-0.1,-22216,-0.26,17:05:22,,42.2738016,-71.8097536
-0.3,0,-0.6,0.74,422738016,-718097536,172779,0.22,0.64,-0.28,-13.32,-16.5,-1.97,-0.1,-21824,-0.26,17:05:22,,42.2738016,-71.8097536
-0.3,0,-0.59,0.75,422738016,-718097536,172786,0.28,0.72,-0.32,-19.58,-13.2,1.46,-0.1,-21688,-0.26,17:05:22,,42.2738016,-71.8097536
-0.3,0,-0.59,0.75,422738016,-718097536,172786,0.37,0.81,-0.33,-13.44,-8.29,-2,-0.1,-21592,-0.26,17:05:22,,42.2738016,-71.8097536
-0.3,0,-0.59,0.75,422738016,-718097472,172734,0.38,0.86,-0.33,-10.42,-5.43,-4.37,-0.1,-21800,-0.26,17:05:22,,42.2738016,-71.8097472
-0.3,0,-0.59,0.75,422738048,-718097472,172737,0.39,1.03,-0.31,0.5,-4.91,-11.56,-0.1,-21968,-0.27,17:05:22,,42.2738048,-71.8097472
-0.3,0.01,-0.6,0.75,422738016,-718097472,172682,0.38,1.11,-0.3,-1.69,-6.55,-19.89,-0.09,-22128,-0.27,17:05:22,,42.2738016,-71.8097472
-0.3,0.01,-0.59,0.75,422738016,-718097472,172682,0.41,1.09,-0.36,24.06,-1.34,-19.46,-0.09,-22520,-0.27,17:05:22,,42.2738016,-71.8097472
-0.29,0.02,-0.59,0.76,422738016,-718097472,172693,0.28,1.19,-0.44,23.25,12.85,-15.29,-0.09,-22816,-0.27,17:05:22,,42.2738016,-71.8097472
-0.28,0.03,-0.59,0.75,422738016,-718097472,172711,0.2,1.15,-0.22,20.36,12.79,-7.04,-0.09,-23240,-0.27,17:05:22,,42.2738016,-71.8097472
-0.28,0.04,-0.6,0.75,422738016,-718097472,172711,0.2,0.96,-0.22,8.26,20.19,-1.12,-0.09,-22976,-0.27,17:05:22,,42.2738016,-71.8097472
-0.28,0.04,-0.61,0.74,422738016,-718097472,172732,0.25,1,-0.16,2.37,25.3,6.09,-0.09,-22560,-0.27,17:05:22,,42.2738016,-71.8097472
-0.27,0.04,-0.61,0.74,422738016,-718097408,172746,0.26,0.96,-0.19,-4.29,37.05,9.63,-0.09,-21960,-0.27,17:05:23,,42.2738016,-71.8097408
-0.27,0.03,-0.62,0.74,422738016,-718097408,172780,0.3,0.76,-0.2,2.6,48.76,11.17,-0.09,-21256,-0.26,17:05:23,,42.2738016,-71.8097408
-0.27,0.01,-0.62,0.74,422738016,-718097408,172801,0.29,0.67,-0.21,9.66,50.74,9.4,-0.09,-20800,-0.26,17:05:23,,42.2738016,-71.8097408
-0.27,0,-0.61,0.74,422738016,-718097408,172801,0.3,0.7,-0.23,15.45,37.96,19.23,-0.1,-20352,-0.26,17:05:23,,42.2738016,-71.8097408
-0.28,-0.01,-0.61,0.74,422738016,-718097408,172810,0.33,0.74,-0.26,13.58,18.18,15.44,-0.1,-20024,-0.26,17:05:23,,42.2738016,-71.8097408
-0.28,-0.02,-0.6,0.75,422738016,-718097408,172810,0.35,0.81,-0.26,15.67,1.72,9.28,-0.1,-20192,-0.26,17:05:23,,42.2738016,-71.8097408
-0.28,-0.02,-0.6,0.75,422738016,-718097408,172810,0.38,0.86,-0.23,13.57,-3.17,7.76,-0.1,-20448,-0.26,17:05:23,,42.2738016,-71.8097408
-0.29,-0.02,-0.6,0.74,422738048,-718097344,172789,0.48,0.92,-0.29,5.36,-13.97,8.79,-0.1,-20648,-0.26,17:05:23,,42.2738048,-71.8097344
-0.29,-0.03,-0.61,0.74,422738048,-718097344,172789,0.6,1.02,-0.26,-7.16,-18.78,1.36,-0.1,-20608,-0.26,17:05:23,,42.2738048,-71.8097344
-0.31,-0.03,-0.6,0.74,422738048,-718097344,172794,0.59,0.98,-0.49,-11.62,-25.73,-8.41,-0.1,-21096,-0.26,17:05:23,,42.2738048,-71.8097344
-0.3,-0.03,-0.61,0.73,422738048,-718097344,172794,0.57,1.01,-0.16,-14.88,-29.28,-6.18,-0.1,-21160,-0.26,17:05:23,,42.2738048,-71.8097344
-0.31,-0.04,-0.61,0.73,422738048,-718097344,172868,0.53,0.86,-0.18,-6.12,-29.96,-2.25,-0.1,-21368,-0.26,17:05:23,,42.2738048,-71.8097344
-0.3,-0.04,-0.62,0.72,422738048,-718097344,172896,0.43,0.86,-0.19,-30.75,-20.34,-5.08,-0.1,-21496,-0.26,17:05:23,,42.2738048,-71.8097344
-0.3,-0.03,-0.63,0.72,422738048,-718097344,172915,0.39,0.91,-0.13,-40.72,-25.09,-0.6,-0.1,-21128,-0.26,17:05:23,,42.2738048,-71.8097344
-0.29,-0.03,-0.64,0.71,422738048,-718097344,172925,0.34,0.8,-0.1,-50.69,-18.28,-7.01,-0.1,-20832,-0.26,17:05:23,,42.2738048,-71.8097344
-0.29,-0.02,-0.64,0.71,422738048,-718097344,172925,0.3,0.71,-0.17,-18.9,-20.19,-9.96,-0.1,-20880,-0.26,17:05:23,,42.2738048,-71.8097344
-0.3,-0.01,-0.63,0.72,422738080,-718097344,172947,0.28,0.71,-0.25,-11.37,-22.97,-5.11,-0.1,-21408,-0.26,17:05:23,,42.273808,-71.8097344
-0.31,0,-0.62,0.72,422738080,-718097344,172928,0.3,0.73,-0.34,-11.97,-21.91,-2.95,-0.1,-21208,-0.26,17:05:23,,42.273808,-71.8097344
-0.31,0,-0.61,0.73,422738112,-718097344,172867,0.35,0.82,-0.35,-8.03,-13,-4.4,-0.1,-21432,-0.27,17:05:23,,42.2738112,-71.8097344
-0.31,0.01,-0.6,0.73,422738112,-718097344,172867,0.34,0.92,-0.36,0.4,-4.13,-14.65,-0.09,-21504,-0.27,17:05:23,,42.2738112,-71.8097344
-0.31,0.02,-0.6,0.73,422738112,-718097344,172819,0.33,1.01,-0.27,3.69,-4.85,-19.53,-0.09,-21456,-0.27,17:05:23,,42.2738112,-71.8097344
-0.31,0.03,-0.6,0.74,422738112,-718097344,172807,0.32,1.2,-0.38,9.22,-10.61,-27.25,-0.09,-22144,-0.27,17:05:23,,42.2738112,-71.8097344
-0.3,0.04,-0.59,0.75,422738112,-718097344,172807,0.35,1.17,-0.41,33.17,-9.9,-32.99,-0.09,-22784,-0.28,17:05:23,,42.2738112,-71.8097344
-0.3,0.04,-0.59,0.75,422738144,-718097344,172676,0.32,1.21,-0.36,29.74,11.33,-22.95,-0.09,-23264,-0.28,17:05:23,,42.2738144,-71.8097344
-0.29,0.05,-0.6,0.75,422738144,-718097344,172681,0.22,1.09,-0.15,43.88,20.15,-15.57,-0.08,-23664,-0.28,17:05:23,,42.2738144,-71.8097344
-0.28,0.05,-0.59,0.75,422738144,-718097344,172681,0.19,0.91,-0.26,38.36,26.88,-3.02,-0.08,-23896,-0.28,17:05:23,,42.2738144,-71.8097344
-0.28,0.05,-0.59,0.76,422738144,-718097344,172727,0.22,0.93,-0.3,14.04,28.12,15.04,-0.09,-23656,-0.28,17:05:24,,42.2738144,-71.8097344
-0.28,0.04,-0.59,0.76,422738144,-718097344,172727,0.23,0.89,-0.29,2.4,30.45,17.54,-0.09,-23136,-0.27,17:05:24,,42.2738144,-71.8097344
-0.27,0.03,-0.6,0.75,422738144,-718097344,172721,0.25,0.77,-0.23,-0.92,45.36,11.46,-0.09,-22912,-0.28,17:05:24,,42.2738144,-71.8097344
-0.27,0.01,-0.6,0.76,422738144,-718097344,172749,0.25,0.63,-0.24,4.97,53.33,7.51,-0.09,-22144,-0.27,17:05:24,,42.2738144,-71.8097344
-0.26,0,-0.59,0.76,422738144,-718097344,172796,0.21,0.65,-0.27,12.83,46.03,6.31,-0.09,-21816,-0.27,17:05:24,,42.2738144,-71.8097344
-0.26,0,-0.58,0.77,422738144,-718097344,172796,0.25,0.7,-0.3,11.64,29.21,7.23,-0.09,-21384,-0.27,17:05:24,,42.2738144,-71.8097344
-0.26,-0.01,-0.58,0.77,422738144,-718097344,172827,0.31,0.8,-0.34,20.2,13.79,8.08,-0.09,-21336,-0.27,17:05:24,,42.2738144,-71.8097344
-0.26,-0.02,-0.58,0.77,422738144,-718097344,172897,0.38,0.93,-0.33,7.85,-0.05,9.98,-0.09,-21480,-0.27,17:05:24,,42.2738144,-71.8097344
-0.27,-0.02,-0.58,0.77,422738176,-718097280,172900,0.5,1.03,-0.37,-0.82,-6.3,4.16,-0.09,-21504,-0.27,17:05:24,,42.2738176,-71.809728
-0.27,-0.03,-0.57,0.77,422738176,-718097280,172900,0.55,1.08,-0.49,23.19,-15.69,0.67,-0.09,-22032,-0.27,17:05:24,,42.2738176,-71.809728
-0.28,-0.03,-0.56,0.78,422738176,-718097280,172912,0.57,1.08,-0.57,8.65,-20.1,-3.37,-0.09,-22304,-0.27,17:05:24,,42.2738176,-71.809728
-0.27,-0.04,-0.58,0.77,422738176,-718097280,172935,0.56,1.11,-0.16,-1.7,-27.07,3.02,-0.09,-22672,-0.27,17:05:24,,42.2738176,-71.809728
-0.27,-0.05,-0.59,0.76,422738176,-718097280,172982,0.45,0.92,-0.23,-16.7,-23.12,8.25,-0.09,-22608,-0.27,17:05:24,,42.2738176,-71.809728
-0.27,-0.05,-0.6,0.75,422738176,-718097280,173059,0.44,0.89,-0.17,-23.49,-30.97,10.35,-0.1,-22496,-0.27,17:05:24,,42.2738176,-71.809728
-0.28,-0.04,-0.6,0.75,422738176,-718097280,173059,0.37,0.74,-0.25,-27.89,-29.85,5.46,-0.1,-22728,-0.27,17:05:24,,42.2738176,-71.809728
-0.29,-0.04,-0.6,0.75,422738176,-718097280,173093,0.3,0.56,-0.22,-23.76,-23.99,-5.21,-0.09,-22792,-0.27,17:05:24,,42.2738176,-71.809728
-0.29,-0.03,-0.6,0.75,422738176,-718097280,173120,0.23,0.61,-0.22,-8.87,-25.68,-5.65,-0.09,-23384,-0.27,17:05:24,,42.2738176,-71.809728
-0.3,-0.01,-0.59,0.75,422738208,-718097280,173146,0.21,0.62,-0.28,-12.39,-25.99,-7.14,-0.09,-23280,-0.27,17:05:24,,42.2738208,-71.809728
-0.3,0,-0.58,0.76,422738208,-718097280,173145,0.28,0.79,-0.37,-16.62,-22.67,-5.4,-0.09,-23368,-0.27,17:05:24,,42.2738208,-71.809728
-0.3,0.01,-0.58,0.76,422738208,-718097280,173145,0.31,0.94,-0.39,-6.64,-16.48,-8.68,-0.09,-23456,-0.27,17:05:24,,42.2738208,-71.809728
-0.3,0.02,-0.58,0.76,422738208,-718097280,173137,0.32,1.08,-0.37,-23.51,-17.18,-20.75,-0.09,-23424,-0.28,17:05:24,,42.2738208,-71.809728
-0.3,0.02,-0.58,0.76,422738240,-718097280,173120,0.39,1.12,-0.35,-3.62,-11.03,-20.96,-0.09,-23848,-0.28,17:05:24,,42.273824,-71.809728
-0.29,0.02,-0.58,0.76,422738240,-718097280,173011,0.4,1.17,-0.54,22.1,-0.28,-21.09,-0.09,-24280,-0.28,17:05:24,,42.273824,-71.809728
-0.29,0.03,-0.57,0.77,422738240,-718097280,173011,0.26,1.22,-0.52,41.3,3.34,-12.02,-0.08,-25184,-0.29,17:05:24,,42.273824,-71.809728
-0.29,0.04,-0.57,0.77,422738240,-718097280,173036,0.18,1.05,-0.29,20.76,3.78,0.18,-0.09,-25000,-0.28,17:05:24,,42.273824,-71.809728
-0.28,0.05,-0.57,0.77,422738240,-718097280,173036,0.17,1.05,-0.26,17.47,11.29,-1.76,-0.09,-25040,-0.28,17:05:24,,42.273824,-71.809728
-0.28,0.06,-0.58,0.76,422738240,-718097216,173076,0.17,1.05,-0.25,11.16,28.09,6.44,-0.09,-24752,-0.28,17:05:24,,42.273824,-71.8097216
-0.27,0.05,-0.58,0.77,422738240,-718097216,173076,0.17,0.84,-0.3,2.78,48.05,2.58,-0.09,-24248,-0.28,17:05:24,,42.273824,-71.8097216
-0.26,0.04,-0.58,0.77,422738208,-718097216,173140,0.21,0.71,-0.26,12.25,58.75,4.26,-0.09,-23704,-0.28,17:05:25,,42.2738208,-71.8097216
-0.25,0.02,-0.58,0.77,422738240,-718097216,173283,0.21,0.63,-0.28,6.87,58.56,1.63,-0.09,-23016,-0.27,17:05:25,,42.273824,-71.8097216
-0.25,0.01,-0.58,0.78,422738240,-718097216,173294,0.2,0.66,-0.24,5.07,51.05,0.87,-0.09,-22336,-0.27,17:05:25,,42.273824,-71.8097216
-0.24,0,-0.58,0.78,422738240,-718097216,173294,0.21,0.69,-0.24,5.18,36.73,-1.94,-0.09,-22208,-0.27,17:05:25,,42.273824,-71.8097216
-0.24,0,-0.58,0.78,422738240,-718097216,173269,0.25,0.81,-0.28,11.51,24.13,-1.62,-0.09,-22072,-0.27,17:05:25,,42.273824,-71.8097216
-0.24,-0.01,-0.59,0.77,422738240,-718097216,173254,0.34,0.89,-0.25,8.94,14.17,7.73,-0.09,-21816,-0.27,17:05:25,,42.273824,-71.8097216
-0.25,-0.01,-0.59,0.77,422738240,-718097216,173231,0.47,1,-0.31,-6.18,7.09,8.41,-0.09,-21712,-0.27,17:05:25,,42.273824,-71.8097216
-0.26,-0.02,-0.59,0.77,422738240,-718097216,173231,0.51,1.04,-0.42,12.99,0.42,4.28,-0.09,-21392,-0.27,17:05:25,,42.273824,-71.8097216
-0.27,-0.03,-0.58,0.77,422738240,-718097216,173214,0.53,0.98,-0.35,6.42,-13.73,4.92,-0.09,-21944,-0.27,17:05:25,,42.273824,-71.8097216
-0.27,-0.03,-0.59,0.76,422738272,-718097216,173160,0.49,1.08,-0.29,-23.15,-30.57,10.37,-0.09,-22040,-0.27,17:05:25,,42.2738272,-71.8097216
-0.27,-0.03,-0.61,0.74,422738272,-718097216,173179,0.52,1.04,-0.13,-45.81,-22.77,14.68,-0.09,-21704,-0.27,17:05:25,,42.2738272,-71.8097216
-0.27,-0.04,-0.62,0.73,422738272,-718097216,173214,0.43,0.9,-0.1,-33.38,-18.43,9.57,-0.09,-21176,-0.27,17:05:25,,42.2738272,-71.8097216
-0.28,-0.03,-0.63,0.73,422738272,-718097216,173214,0.4,0.76,-0.2,-35.81,-17.15,-6.11,-0.09,-20808,-0.27,17:05:25,,42.2738272,-71.8097216
-0.29,-0.03,-0.63,0.72,422738272,-718097216,173238,0.33,0.66,-0.19,-30.8,-16.19,-6.76,-0.09,-20704,-0.27,17:05:25,,42.2738272,-71.8097216
-0.31,-0.02,-0.62,0.73,422738272,-718097216,173253,0.29,0.59,-0.28,-15.53,-17.73,-5.46,-0.09,-21048,-0.27,17:05:25,,42.2738272,-71.8097216
-0.31,0,-0.61,0.73,422738272,-718097216,173264,0.25,0.67,-0.26,-21.63,-22.65,-2.4,-0.09,-20832,-0.27,17:05:25,,42.2738272,-71.8097216
-0.32,0,-0.61,0.73,422738272,-718097216,173264,0.34,0.73,-0.25,-20.82,-26.12,1.64,-0.09,-20944,-0.27,17:05:25,,42.2738272,-71.8097216
-0.33,0.01,-0.61,0.72,422738272,-718097216,173275,0.39,0.84,-0.28,-16.99,-19.5,-3.71,-0.09,-20744,-0.27,17:05:25,,42.2738272,-71.8097216
-0.32,0.01,-0.61,0.72,422738272,-718097152,173216,0.39,1,-0.27,-11.96,-17.01,-10.14,-0.09,-20744,-0.27,17:05:25,,42.2738272,-71.8097152
-0.32,0.02,-0.61,0.72,422738272,-718097152,173204,0.37,1.06,-0.26,-19.01,-20.34,-17.06,-0.09,-20832,-0.27,17:05:25,,42.2738272,-71.8097152
-0.32,0.03,-0.61,0.72,422738272,-718097152,173204,0.43,1.13,-0.29,6.27,-20.05,-14.61,-0.09,-21280,-0.28,17:05:25,,42.2738272,-71.8097152
-0.32,0.03,-0.6,0.73,422738304,-718097152,173203,0.43,1.12,-0.44,14.25,-16.26,-12.52,-0.09,-21664,-0.28,17:05:25,,42.2738304,-71.8097152
-0.32,0.04,-0.6,0.73,422738304,-718097152,173215,0.29,1.2,-0.34,13.14,-9.75,-8.17,-0.09,-21904,-0.28,17:05:25,,42.2738304,-71.8097152
-0.31,0.06,-0.6,0.73,422738304,-718097152,173215,0.17,1.05,-0.15,19.29,-2.37,-8.7,-0.08,-22352,-0.28,17:05:25,,42.2738304,-71.8097152
-0.3,0.07,-0.61,0.73,422738304,-718097152,173233,0.12,0.95,-0.2,5.71,5.93,0.25,-0.08,-22632,-0.29,17:05:25,,42.2738304,-71.8097152
-0.29,0.07,-0.61,0.73,422738304,-718097152,173294,0.18,0.99,-0.19,-3.75,13.27,15.17,-0.09,-22304,-0.28,17:05:26,,42.2738304,-71.8097152
-0.29,0.06,-0.62,0.73,422738304,-718097152,173337,0.27,0.84,-0.2,-2.48,30.06,19.2,-0.09,-21848,-0.28,17:05:26,,42.2738304,-71.8097152
-0.29,0.05,-0.62,0.73,422738304,-718097152,173374,0.27,0.77,-0.23,-7.16,36.16,14.19,-0.09,-21088,-0.27,17:05:26,,42.2738304,-71.8097152
-0.29,0.04,-0.61,0.73,422738304,-718097152,173374,0.25,0.68,-0.26,4.31,33.66,14.94,-0.09,-20480,-0.27,17:05:26,,42.2738304,-71.8097152
-0.29,0.03,-0.61,0.74,422738336,-718097152,173499,0.25,0.73,-0.28,2.59,26.7,18,-0.09,-20096,-0.27,17:05:26,,42.2738336,-71.8097152
-0.29,0.02,-0.6,0.74,422738336,-718097152,173504,0.3,0.77,-0.26,5.84,11.4,23.69,-0.09,-19968,-0.27,17:05:26,,42.2738336,-71.8097152
-0.3,0.01,-0.6,0.74,422738336,-718097152,173510,0.33,0.9,-0.25,13.14,1.14,26.2,-0.1,-19976,-0.26,17:05:26,,42.2738336,-71.8097152
-0.3,0.01,-0.6,0.74,422738336,-718097152,173510,0.39,0.92,-0.27,-0.44,-15.39,26.2,-0.1,-19872,-0.26,17:05:26,,42.2738336,-71.8097152
