magX, magY, magZ
135294.00000,135307.00000,138208.00000
135294.00000,135307.00000,138208.00000
135240.00000,135354.00000,138245.00000
135240.00000,135354.00000,138245.00000
135198.00000,135419.00000,138338.00000
135198.00000,135419.00000,138338.00000
135169.00000,135370.00000,138255.00000
135169.00000,135370.00000,138255.00000
135169.00000,135304.00000,138182.00000
135169.00000,135304.00000,138182.00000
135241.00000,135293.00000,138157.00000
135241.00000,135293.00000,138157.00000
135257.00000,135299.00000,138200.00000
135257.00000,135299.00000,138200.00000
135239.00000,135210.00000,138063.00000
135239.00000,135210.00000,138063.00000
135276.00000,135063.00000,137898.00000
135276.00000,135063.00000,137898.00000
135300.00000,134711.00000,137556.00000
135300.00000,134711.00000,137556.00000
135273.00000,134197.00000,137130.00000
135273.00000,134197.00000,137130.00000
135203.00000,133865.00000,136929.00000
135203.00000,133865.00000,136929.00000
135155.00000,133725.00000,136859.00000
135155.00000,133725.00000,136859.00000
135129.00000,133414.00000,136722.00000
135129.00000,133414.00000,136722.00000
135105.00000,133236.00000,136676.00000
135105.00000,133236.00000,136676.00000
135103.00000,133163.00000,136645.00000
135103.00000,133163.00000,136645.00000
135120.00000,133025.00000,136604.00000
135120.00000,133025.00000,136604.00000
135161.00000,132985.00000,136604.00000
135161.00000,132985.00000,136604.00000
135218.00000,132975.00000,136604.00000
135218.00000,132975.00000,136604.00000
135241.00000,132968.00000,136608.00000
135241.00000,132968.00000,136608.00000
135233.00000,133036.00000,136620.00000
135233.00000,133036.00000,136620.00000
135236.00000,133176.00000,136661.00000
135236.00000,133176.00000,136661.00000
135251.00000,133302.00000,136695.00000
135251.00000,133302.00000,136695.00000
135209.00000,133328.00000,136707.00000
135209.00000,133328.00000,136707.00000
135187.00000,133322.00000,136700.00000
135187.00000,133322.00000,136700.00000
135179.00000,133254.00000,136695.00000
135179.00000,133254.00000,136695.00000
135199.00000,133229.00000,136660.00000
135199.00000,133229.00000,136660.00000
135217.00000,133287.00000,136691.00000
135217.00000,133287.00000,136691.00000
135215.00000,133428.00000,136753.00000
135215.00000,133428.00000,136753.00000
135210.00000,133585.00000,136798.00000
135210.00000,133585.00000,136798.00000
135191.00000,134115.00000,137093.00000
135191.00000,134115.00000,137093.00000
135173.00000,134701.00000,137549.00000
135173.00000,134701.00000,137549.00000
135208.00000,135159.00000,138021.00000
135208.00000,135159.00000,138021.00000
135207.00000,135573.00000,138581.00000
135207.00000,135573.00000,138581.00000
135207.00000,135683.00000,138823.00000
135207.00000,135683.00000,138823.00000
135269.00000,135841.00000,139191.00000
135269.00000,135841.00000,139191.00000
135285.00000,135950.00000,139546.00000
135285.00000,135950.00000,139546.00000
135194.00000,135962.00000,139541.00000
135194.00000,135962.00000,139541.00000
135076.00000,135917.00000,139348.00000
135076.00000,135917.00000,139348.00000
134978.00000,135871.00000,139217.00000
134978.00000,135871.00000,139217.00000
134854.00000,135798.00000,139073.00000
134854.00000,135798.00000,139073.00000
134729.00000,135766.00000,139071.00000
134729.00000,135766.00000,139071.00000
134666.00000,135776.00000,139144.00000
134666.00000,135776.00000,139144.00000
134594.00000,135796.00000,139316.00000
134594.00000,135796.00000,139316.00000
134513.00000,135807.00000,139515.00000
134513.00000,135807.00000,139515.00000
134443.00000,135805.00000,139789.00000
134443.00000,135805.00000,139789.00000
