W,I,J,K,LAT,LON,ALT_MSL_GPS,ALT_BARO,BARO,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.67,998.72,-0.01,0.00,1.02,0.01,-0.07,-0.02,130921.00,128555.00,130516.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.67,998.72,-0.01,0.00,1.02,-0.02,-0.00,-0.00,130920.00,128559.00,130516.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.68,998.72,-0.01,0.00,1.02,-0.02,0.00,-0.04,130923.00,128556.00,130507.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.68,998.72,-0.01,0.00,1.02,0.01,-0.00,-0.03,130913.00,128561.00,130526.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.68,998.72,-0.01,-0.00,1.02,0.08,-0.00,-0.03,130919.00,128560.00,130517.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.49,998.74,-0.01,0.00,1.02,0.05,0.01,-0.01,130915.00,128553.00,130511.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.49,998.74,-0.01,0.00,1.02,-0.07,-0.04,0.03,130913.00,128561.00,130526.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.72,998.71,-0.01,0.00,1.02,0.04,0.00,-0.00,130923.00,128546.00,130520.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.72,998.71,-0.01,0.00,1.02,0.05,0.01,-0.00,130922.00,128557.00,130519.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.72,998.71,-0.01,0.00,1.02,0.04,0.03,-0.06,130916.00,128554.00,130512.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.08,998.79,-0.01,0.00,1.01,-0.17,0.01,-0.06,130918.00,128555.00,130498.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.08,998.79,-0.01,0.01,1.02,-5.11,3.51,-2.86,130917.00,128541.00,130516.00,3312023773
0.01,-0.04,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.08,998.79,-0.03,0.07,1.02,-5.62,3.73,1.84,130924.00,128558.00,130512.00,3312023773
0.00,-0.04,-1.00,-0.01,279359776.0000,-513651328.0000,-581734400.00,121.72,998.71,0.02,-0.14,1.01,4.02,-2.70,-2.31,130916.00,128557.00,130526.00,3312023773
0.01,-0.04,-1.00,-0.01,279359776.0000,-513651328.0000,-581734400.00,121.72,998.71,-0.03,-0.00,1.01,0.48,-0.32,0.70,130918.00,128558.00,130515.00,3312023773
0.01,-0.04,-1.00,-0.01,279359776.0000,-513651328.0000,-581734400.00,121.43,998.75,-0.06,-0.01,1.02,2.14,-1.26,-10.96,130916.00,128555.00,130521.00,3312023773
0.02,-0.03,-1.00,-0.01,279359776.0000,-513651328.0000,-581734400.00,121.43,998.75,-0.07,-0.02,1.06,3.90,9.94,-12.48,130928.00,128552.00,130512.00,3312023773
0.02,-0.03,-1.00,-0.00,279359776.0000,-513651328.0000,-581734400.00,121.43,998.75,-0.06,-0.03,1.10,29.36,24.13,-14.06,130919.00,128556.00,130517.00,3312023773
0.02,-0.03,-1.00,-0.00,279359776.0000,-513651328.0000,-581734400.00,121.18,998.78,0.00,0.00,1.15,-0.55,-13.23,-5.43,130924.00,128553.00,130508.00,3312023773
0.01,-0.03,-1.00,-0.00,279359776.0000,-513651328.0000,-581734400.00,121.18,998.78,-0.03,0.02,1.09,-1.31,-23.47,-5.87,130916.00,128562.00,130496.00,3312023773
0.01,-0.03,-1.00,-0.00,279359776.0000,-513651328.0000,-581734400.00,121.81,998.70,-0.04,-0.01,1.06,3.53,-21.95,-5.17,130926.00,128557.00,130511.00,3312023773
0.01,-0.02,-1.00,-0.00,279359776.0000,-513651328.0000,-581734400.00,121.81,998.70,-0.06,-0.03,1.02,1.49,-31.51,-18.01,130914.00,128553.00,130508.00,3312023773
0.00,-0.02,-1.00,-0.00,279359776.0000,-513651328.0000,-581734400.00,121.81,998.70,-0.04,-0.03,1.00,4.12,-28.44,-26.24,130918.00,128546.00,130496.00,3312023773
0.00,-0.01,-1.00,-0.00,279359776.0000,-513651328.0000,-581734400.00,121.26,998.77,-0.03,0.02,0.99,-11.63,-19.92,-19.14,130920.00,128548.00,130494.00,3312023773
-0.01,-0.01,-1.00,-0.00,279359776.0000,-513651328.0000,-581734400.00,121.26,998.77,0.04,0.03,1.04,0.27,-18.77,-18.37,130919.00,128543.00,130495.00,3312023773
-0.01,-0.01,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.35,998.76,0.00,0.03,1.00,16.73,-10.56,-18.60,130922.00,128537.00,130490.00,3312023773
-0.00,-0.00,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.35,998.76,-0.02,0.03,1.00,19.42,2.98,-10.66,130925.00,128541.00,130498.00,3312023773
-0.00,-0.00,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.35,998.76,0.02,0.04,1.02,-0.66,16.00,-5.25,130925.00,128543.00,130485.00,3312023773
0.00,-0.00,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.15,998.78,0.01,0.04,1.04,-4.20,10.96,-7.77,130927.00,128545.00,130511.00,3312023773
0.00,-0.00,-1.00,0.02,279359776.0000,-513651328.0000,-581734400.00,121.15,998.78,-0.02,0.05,0.99,9.50,15.49,-5.10,130924.00,128542.00,130499.00,3312023773
0.01,-0.00,-1.00,0.02,279359776.0000,-513651328.0000,-581734400.00,121.54,998.73,-0.02,0.02,0.97,9.31,14.80,-3.15,130922.00,128547.00,130492.00,3312023773
0.02,0.00,-1.00,0.02,279359776.0000,-513651328.0000,-581734400.00,121.54,998.73,-0.07,0.03,1.00,-2.99,15.55,-12.34,130927.00,128548.00,130491.00,3312023773
