accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.55,0.82,-0.80,250.04,-14.45,-39.72,93416.00,3832.00,144328.00,29282
0.56,0.93,-0.93,250.04,-18.90,-2.21,93320.00,-1040.00,143336.00,29307
0.60,0.81,-1.11,250.04,16.65,52.76,93368.00,-5536.00,141608.00,29332
0.62,0.02,-0.96,250.04,54.53,92.01,93376.00,-9016.00,138928.00,29357
0.66,-0.35,-0.94,189.33,41.76,54.41,93448.00,-11544.00,136952.00,29382
0.80,-0.26,-1.42,233.31,34.20,1.47,94216.00,-12968.00,134368.00,29407
0.79,0.12,-1.35,195.07,105.65,-7.70,95064.00,-14600.00,131136.00,29432
0.87,-0.06,-0.93,123.40,169.43,26.69,95840.00,-15704.00,127784.00,29457
0.89,-0.25,-0.89,250.04,157.57,35.81,96072.00,-16944.00,122696.00,29482
0.91,-0.77,-0.80,250.04,132.84,6.93,96456.00,-17256.00,116840.00,29507
0.98,-0.92,-0.85,250.04,120.38,-60.96,97456.00,-15640.00,110808.00,29533
1.00,-0.73,-1.08,250.04,165.05,-117.57,97736.00,-12608.00,105320.00,29557
0.85,-0.62,-0.48,250.04,210.53,-141.50,97352.00,-8568.00,99616.00,29582
1.01,-0.80,-0.16,250.04,169.75,-160.30,97112.00,-2744.00,95560.00,29607
1.03,-0.73,-0.25,250.04,129.36,-191.18,96456.00,3760.00,92976.00,29632
1.16,-0.26,0.22,250.04,44.69,-165.93,95808.00,9264.00,92296.00,29657
1.25,-0.55,0.17,250.04,2.92,-155.50,95368.00,13920.00,92688.00,29682
1.37,-0.60,0.16,190.92,-27.29,-171.40,94800.00,17520.00,93536.00,29707
1.31,-0.42,-0.11,153.97,-24.16,-195.44,94104.00,20992.00,94640.00,29732
1.25,-0.02,0.13,133.79,-23.46,-187.22,93432.00,23560.00,95872.00,29757
1.36,0.09,0.08,74.29,-68.41,-130.34,92752.00,25544.00,97016.00,29782
1.39,0.11,-0.07,72.35,-79.93,-99.64,92408.00,26872.00,98528.00,29807
1.41,-0.21,-0.03,43.89,-63.37,-96.24,92048.00,28208.00,99448.00,29832
1.30,-0.36,0.31,13.36,-83.24,-137.28,91280.00,29800.00,100312.00,29857
1.10,0.19,0.04,-37.30,-181.68,-152.15,90608.00,30656.00,101480.00,29882
0.97,0.12,-0.20,-38.38,-166.58,-140.55,90152.00,31696.00,102336.00,29907
1.06,-0.14,0.07,-54.07,-177.14,-171.14,89120.00,32832.00,103248.00,29932
0.90,0.20,-0.22,-77.94,-214.70,-209.03,87976.00,34224.00,103944.00,29957
0.82,0.31,-0.27,-4.16,-155.30,-197.35,86352.00,35480.00,105040.00,29982
0.80,0.68,-0.21,-59.70,-175.00,-213.33,84680.00,36432.00,105224.00,30007
0.81,0.95,-0.55,-84.64,-194.18,-200.80,83280.00,37400.00,105912.00,30032
0.66,1.04,-0.75,-32.61,-150.59,-147.81,82280.00,37752.00,106024.00,30057
0.70,0.68,-0.48,-35.42,-140.59,-139.95,81048.00,38424.00,106280.00,30082
0.67,0.96,-0.70,-52.14,-133.30,-144.59,79904.00,38936.00,106240.00,30107
0.53,1.18,-0.62,-35.87,-111.22,-115.65,79208.00,39144.00,106104.00,30132
0.71,0.98,-0.73,-24.79,-107.35,-81.80,78616.00,39368.00,106336.00,30157
0.70,0.67,-1.07,23.92,-81.29,-80.32,77448.00,39608.00,106784.00,30182
0.29,1.01,-0.25,-11.97,3.72,-87.48,76392.00,40024.00,106648.00,30207
0.32,0.96,-0.22,-32.71,-77.05,-82.09,75696.00,40144.00,106096.00,30234
0.22,1.08,-0.54,-33.50,-103.34,-63.71,75656.00,40128.00,106440.00,30257
0.34,0.77,-0.71,18.53,-80.75,-24.19,75152.00,40280.00,106704.00,30282
0.26,0.96,-0.59,-1.50,-41.73,-85.45,74288.00,40584.00,106784.00,30307
0.14,1.00,-0.43,28.05,-45.30,-56.08,73672.00,41008.00,107504.00,30332
0.15,0.62,-0.54,50.18,-65.27,-41.99,73200.00,40912.00,107840.00,30357
0.07,0.53,-0.78,40.91,-48.70,-60.94,72272.00,41192.00,108776.00,30382
0.08,0.67,-0.53,49.81,-49.61,-94.99,71128.00,41328.00,109544.00,30407
-0.05,0.85,-0.63,22.39,-40.82,-97.57,69840.00,41664.00,109560.00,30432
-0.15,0.59,-0.57,1.15,-39.23,-112.40,68480.00,41448.00,109432.00,30457
-0.35,0.73,-0.58,-2.78,-35.87,-113.78,66912.00,41416.00,109704.00,30482
-0.64,0.78,-0.08,-6.72,-58.01,-112.19,65376.00,40936.00,109496.00,30507
-0.51,0.58,-0.13,-61.60,-111.27,-120.10,63808.00,40752.00,108512.00,30532
-0.48,0.44,-0.55,-97.35,-134.91,-150.03,62016.00,39728.00,106736.00,30557
-0.64,0.75,-0.87,-84.26,-99.28,-183.96,59984.00,39016.00,106160.00,30582
-0.67,0.93,-0.79,-3.96,-31.80,-178.99,57936.00,38472.00,106856.00,30607
-0.82,0.64,-0.22,63.68,-32.89,-110.00,56440.00,38016.00,107544.00,30632
-0.82,0.78,-0.58,15.91,-48.84,-108.69,55336.00,37504.00,107704.00,30657
-0.88,1.05,-0.81,34.10,-11.41,-92.69,54368.00,37120.00,108512.00,30682
-0.89,1.09,-0.60,66.98,27.32,-53.83,53808.00,36984.00,109632.00,30707
-0.97,1.14,-0.44,45.42,39.82,13.44,53912.00,37336.00,110368.00,30732
-1.01,1.11,-0.31,51.28,39.50,49.48,54496.00,37824.00,111016.00,30757
-0.87,0.81,-0.34,17.43,17.74,73.84,55696.00,38304.00,111112.00,30782
-0.67,0.71,-0.80,7.12,4.64,82.22,56896.00,38800.00,111248.00,30807
-0.88,0.99,-1.24,2.49,159.71,120.02,58160.00,39392.00,112000.00,30832
-0.98,0.91,-0.60,3.00,213.47,132.12,59544.00,39816.00,112688.00,30857
-0.70,0.85,-0.23,-27.04,163.59,146.71,61696.00,40328.00,112416.00,30882
-0.46,0.82,-0.79,-57.40,116.96,179.33,64144.00,40768.00,112080.00,30907
-0.46,0.83,-0.99,-40.88,199.74,207.62,66520.00,41008.00,111752.00,30932
-0.23,0.77,-0.86,-43.49,218.58,205.78,68816.00,41040.00,111672.00,30957
-0.13,0.81,-0.84,-51.03,226.96,200.00,70904.00,40704.00,110704.00,30982
-0.17,0.91,-0.76,-35.85,235.95,208.53,73232.00,40608.00,110432.00,31007
-0.18,0.90,-0.53,-20.26,240.74,228.21,75840.00,39992.00,109456.00,31032
0.35,0.63,-0.22,-118.95,196.37,249.89,78264.00,38784.00,107680.00,31057
0.61,0.49,-0.44,-84.21,137.64,238.51,80584.00,37480.00,106144.00,31082
0.70,0.60,-0.61,-69.19,137.10,224.04,82736.00,36496.00,105144.00,31107
0.59,0.73,-0.41,-36.07,162.08,226.23,84600.00,34928.00,103592.00,31132
0.81,0.41,0.02,-28.30,116.63,229.94,86432.00,33376.00,102840.00,31157
0.98,0.38,-0.04,-5.86,84.40,217.13,88376.00,31720.00,102096.00,31182
0.94,0.44,0.03,8.24,63.28,215.59,90288.00,30136.00,101864.00,31207
1.03,0.20,0.06,-10.29,48.34,213.65,92128.00,28480.00,101504.00,31232
1.26,-0.04,-0.15,-0.30,3.86,171.29,93616.00,26888.00,101320.00,31257
1.25,0.05,-0.24,43.39,7.69,162.31,94808.00,25296.00,101656.00,31282
1.35,0.12,-0.15,36.21,14.77,164.14,96208.00,23752.00,101528.00,31307
1.45,0.13,-0.17,-24.68,1.45,182.01,97704.00,21560.00,101376.00,31332
1.33,-0.41,-0.56,57.48,8.68,222.45,98992.00,19168.00,101752.00,31357
1.32,-0.67,-0.40,69.03,53.05,199.28,99576.00,17096.00,101200.00,31382
1.29,-0.61,-0.20,61.81,73.55,163.89,100016.00,15168.00,100440.00,31407
1.37,-0.63,-0.12,44.37,66.81,152.54,100088.00,13640.00,99824.00,31432
1.19,-0.67,-0.15,53.31,58.67,154.50,100120.00,11792.00,99024.00,31457
