accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ
-0.01,-0.55,0.86,-23.50,41.02,-125.22,137164.00,132790.00,134482.00
0.01,-0.49,0.84,-43.95,49.38,-125.22,137149.00,132806.00,134465.00
0.07,-0.44,0.74,-16.79,55.95,-125.22,137134.00,132817.00,134483.00
0.01,-0.64,0.89,-2.44,55.89,-125.22,137108.00,132797.00,134478.00
0.05,-0.75,0.77,-26.21,54.08,-125.22,137087.00,132798.00,134467.00
0.02,-0.57,0.78,-64.72,68.64,-125.22,137067.00,132803.00,134463.00
0.03,-0.57,0.72,4.71,89.05,-125.22,137037.00,132801.00,134454.00
0.03,-0.61,0.87,-14.25,97.35,-125.22,137004.00,132781.00,134466.00
-0.16,-0.35,1.17,-38.83,85.98,-125.22,136964.00,132786.00,134460.00
-0.00,-0.36,1.05,-21.85,47.13,-125.22,136943.00,132791.00,134468.00
0.05,-0.51,0.79,-29.57,44.30,-125.22,136924.00,132783.00,134466.00
-0.21,-0.21,1.19,-55.51,39.89,-125.22,136889.00,132803.00,134463.00
-0.23,-0.29,1.20,-41.67,6.26,-125.22,136885.00,132775.00,134471.00
0.09,-0.34,0.90,-61.82,-18.65,-125.22,136864.00,132767.00,134475.00
0.20,-0.12,0.73,-116.49,10.28,-125.22,136861.00,132791.00,134463.00
0.05,0.27,1.39,-36.95,-23.12,-125.22,136853.00,132780.00,134462.00
0.34,-0.09,0.99,-11.06,-82.09,-125.22,136867.00,132786.00,134462.00
0.56,-0.26,0.56,-67.11,-64.34,-125.22,136870.00,132786.00,134474.00
0.51,-0.01,0.77,-83.69,-31.98,-125.22,136876.00,132774.00,134462.00
0.51,-0.23,0.73,-50.98,-71.00,-125.22,136881.00,132779.00,134475.00
0.58,-0.28,0.50,-111.64,-51.17,-125.22,136887.00,132807.00,134485.00
0.66,-0.22,0.60,-109.45,-2.29,-125.22,136898.00,132779.00,134488.00
0.52,-0.23,0.56,-125.21,14.29,-125.22,136894.00,132775.00,134473.00
0.24,-0.08,0.86,-125.21,70.64,-125.22,136914.00,132779.00,134461.00
0.15,-0.09,0.88,-125.21,81.34,-125.22,136920.00,132775.00,134475.00
0.05,0.05,0.94,-125.21,99.92,-125.22,136924.00,132773.00,134492.00
-0.15,0.29,0.98,-125.21,117.11,-125.22,136947.00,132788.00,134489.00
-0.10,0.51,1.19,-125.21,125.04,-125.22,136988.00,132767.00,134468.00
-0.08,0.52,1.48,-89.08,60.38,-125.22,137006.00,132770.00,134491.00
0.02,0.18,1.50,-81.90,9.44,-125.22,137018.00,132771.00,134497.00
0.06,-0.14,1.40,-70.49,-24.83,-125.22,137051.00,132779.00,134502.00
0.03,-0.24,1.37,-92.93,-68.17,-125.22,137087.00,132778.00,134491.00
-0.05,-0.27,0.92,-125.21,-89.28,-125.22,137134.00,132778.00,134501.00
0.12,-0.24,0.60,-125.21,-71.31,-125.22,137165.00,132795.00,134488.00
0.06,-0.04,0.50,-125.21,-9.54,-125.22,137215.00,132783.00,134497.00
0.15,0.01,0.59,-125.21,46.49,-125.22,137248.00,132778.00,134486.00
0.09,-0.01,0.76,-14.32,94.44,-125.22,137261.00,132762.00,134474.00
0.03,0.69,1.08,-125.21,119.70,-125.22,137263.00,132768.00,134482.00
-0.06,1.16,1.29,-38.64,100.81,-125.22,137277.00,132777.00,134500.00
0.06,0.58,1.44,99.56,50.07,-5.09,137277.00,132762.00,134486.00
0.33,-0.30,0.94,109.27,5.19,-14.47,137271.00,132783.00,134461.00
1.30,-0.46,1.08,124.78,32.96,-49.76,137284.00,132791.00,134475.00
0.03,-0.27,0.77,-6.99,32.53,-112.25,137286.00,132797.00,134468.00
-0.15,-0.46,1.08,124.78,41.62,-125.22,137273.00,132803.00,134495.00
-0.39,-0.44,1.30,124.78,14.04,-125.22,137296.00,132794.00,134489.00
-0.22,0.12,1.01,-61.12,-70.89,-125.22,137298.00,132778.00,134494.00
-0.25,0.27,0.97,19.61,-62.22,-125.22,137302.00,132791.00,134480.00
-0.15,0.52,0.73,53.72,-48.23,-125.22,137309.00,132777.00,134463.00
-0.17,0.54,1.06,80.63,-22.64,-125.22,137309.00,132798.00,134489.00
-0.16,0.55,1.07,124.78,-71.48,-125.22,137283.00,132804.00,134472.00
-0.05,0.59,0.85,87.58,-73.38,-125.22,137278.00,132802.00,134489.00
0.08,0.70,0.87,92.96,-71.29,-111.99,137275.00,132776.00,134484.00
-0.05,0.61,1.15,93.08,-87.29,-77.54,137266.00,132789.00,134495.00
0.23,0.69,0.90,12.32,-124.95,-47.97,137266.00,132806.00,134472.00
0.06,0.69,0.87,7.99,-124.95,-15.55,137286.00,132804.00,134477.00
0.13,0.28,0.83,-17.25,-124.95,-20.49,137263.00,132797.00,134490.00
0.13,0.32,0.99,-34.80,-124.95,-44.92,137272.00,132796.00,134484.00
0.14,0.10,0.76,-37.65,-124.95,-91.92,137264.00,132784.00,134506.00
0.27,0.63,0.52,-71.11,-95.98,-119.57,137250.00,132810.00,134501.00
0.28,0.40,0.81,10.19,-73.20,-107.94,137233.00,132797.00,134488.00
0.30,0.43,0.80,25.75,-90.29,-121.67,137222.00,132795.00,134456.00
0.37,0.61,0.55,-37.16,-83.29,-124.14,137216.00,132801.00,134480.00
0.50,0.69,0.65,-11.50,-55.82,-105.18,137202.00,132783.00,134458.00
0.46,1.01,0.51,-35.14,-47.45,-73.55,137195.00,132791.00,134458.00
0.55,1.19,0.26,-28.37,-26.01,-18.22,137207.00,132793.00,134475.00
0.34,1.24,0.27,13.05,33.05,63.85,137212.00,132802.00,134455.00
0.23,1.43,0.17,-69.21,105.64,124.77,137252.00,132802.00,134469.00
-0.16,1.22,0.12,23.78,125.04,124.77,137267.00,132779.00,134485.00
-0.59,0.85,0.49,84.33,125.04,124.77,137310.00,132813.00,134495.00
-0.86,0.77,0.77,86.31,125.04,124.77,137328.00,132793.00,134488.00
-1.14,1.34,1.00,124.78,125.04,124.77,137327.00,132794.00,134477.00
-1.48,1.30,0.92,124.78,125.04,124.77,137328.00,132817.00,134480.00
-1.69,1.05,1.04,124.78,125.04,124.77,137300.00,132785.00,134480.00
-1.82,0.79,1.33,124.78,125.04,124.77,137241.00,132802.00,134491.00
-1.66,0.73,2.07,124.78,125.04,124.77,137207.00,132787.00,134475.00
-0.54,0.83,1.45,56.92,125.04,124.77,137170.00,132776.00,134467.00
-0.37,0.93,0.93,124.78,124.37,124.77,137152.00,132790.00,134477.00
-0.39,0.83,0.76,124.78,125.04,124.77,137121.00,132782.00,134482.00
-0.11,0.98,0.52,124.78,125.04,124.77,137077.00,132799.00,134456.00
-0.21,1.13,0.31,124.78,125.04,124.77,137031.00,132789.00,134473.00
-0.47,1.25,0.60,124.78,125.04,124.77,136996.00,132798.00,134484.00
-0.39,1.15,0.76,124.78,125.04,124.77,136954.00,132786.00,134472.00
-0.31,1.03,0.57,124.78,125.04,124.77,136935.00,132792.00,134472.00
-0.46,1.19,0.50,124.78,125.04,124.77,136900.00,132805.00,134478.00
-0.53,1.18,0.63,124.78,125.04,124.77,136889.00,132805.00,134475.00
-0.59,1.09,0.68,124.78,125.04,124.77,136880.00,132794.00,134467.00
-0.62,1.05,0.76,124.78,125.04,124.77,136907.00,132777.00,134473.00
-0.49,0.94,0.79,124.78,125.04,124.77,136912.00,132810.00,134474.00
-0.37,0.88,0.91,124.78,125.04,124.77,136933.00,132784.00,134494.00
